rating,easy,medium,hard,acceptance,weekly
2563.0,53.0,38.0,70.0,15.0,0.0
2563.0,71.0,92.0,149.0,90.0,2.0
2563.0,139.0,139.0,77.0,60.0,0.0
2563.0,172.0,135.0,99.0,85.0,1.0
2563.0,47.0,40.0,25.0,45.0,0.0
2562.0,59.0,62.0,82.0,10.0,0.0
2561.0,62.0,115.0,68.0,30.0,0.0
2561.0,264.0,168.0,103.0,45.0,7.0
2561.0,39.0,64.0,83.0,85.0,0.0
2560.0,138.0,118.0,129.0,10.0,2.0
2560.0,43.0,34.0,31.0,30.0,0.0
2559.0,51.0,61.0,279.0,60.0,8.0
2559.0,89.0,72.0,172.0,60.0,0.0
2558.0,124.0,123.0,162.0,45.0,12.0
2558.0,121.0,141.0,154.0,40.0,19.0
2558.0,51.0,52.0,32.0,70.0,0.0
2556.0,62.0,56.0,45.0,15.0,0.0
2556.0,113.0,95.0,61.0,35.0,0.0
2556.0,68.0,63.0,171.0,50.0,0.0
2556.0,16.0,15.0,26.0,80.0,0.0
2555.0,49.0,94.0,170.0,60.0,0.0
2555.0,91.0,208.0,321.0,70.0,0.0
2554.0,86.0,73.0,93.0,75.0,0.0
