ranking,easy,medium,hard,acceptance,weekly
262929.0,72.0,150.0,129.0,75.0,27.0
237332.0,220.0,137.0,16.0,70.0,0.0
1392.0,483.0,965.0,496.0,70.0,7.0
451475.0,39.0,82.0,121.0,40.0,0.0
162363.0,72.0,230.0,157.0,75.0,2.0
46075.0,184.0,423.0,158.0,75.0,0.0
3096.0,420.0,972.0,211.0,65.0,0.0
97546.0,171.0,298.0,109.0,65.0,0.0
251.0,664.0,1414.0,638.0,75.0,18.0
92905.0,47.0,292.0,251.0,95.0,1.0
417525.0,73.0,134.0,50.0,85.0,0.0
935023.0,37.0,65.0,23.0,60.0,0.0
793284.0,59.0,80.0,9.0,55.0,0.0
1376.0,576.0,989.0,385.0,95.0,6.0
168536.0,92.0,236.0,122.0,70.0,0.0
4174.0,296.0,808.0,379.0,65.0,0.0
41091.0,267.0,468.0,60.0,70.0,0.0
52363.0,179.0,423.0,131.0,80.0,0.0
734926.0,62.0,84.0,13.0,75.0,0.0
1385.0,606.0,1045.0,295.0,65.0,5.0
8947.0,327.0,696.0,201.0,95.0,6.0
1115780.0,31.0,58.0,13.0,75.0,0.0
2345.0,508.0,950.0,249.0,55.0,115.0
2361.0,418.0,808.0,479.0,90.0,12.0
36282.0,254.0,469.0,104.0,45.0,0.0
1493406.0,26.0,33.0,10.0,75.0,4.0
6075.0,360.0,694.0,297.0,30.0,10.0
1347911.0,23.0,46.0,11.0,45.0,0.0
1115.0,716.0,1106.0,238.0,75.0,25.0
44.0,824.0,1754.0,792.0,60.0,20.0
1254.0,546.0,1227.0,226.0,40.0,0.0
80986.0,169.0,313.0,142.0,35.0,0.0
1358269.0,34.0,41.0,4.0,60.0,7.0
9715.0,309.0,651.0,239.0,50.0,7.0
2422.0,377.0,975.0,344.0,85.0,0.0
1329.0,420.0,1043.0,505.0,50.0,12.0
1064.0,772.0,1086.0,220.0,75.0,24.0
1502.0,567.0,1045.0,298.0,45.0,17.0
138227.0,165.0,248.0,83.0,90.0,3.0
591769.0,53.0,101.0,40.0,55.0,0.0
1070.0,490.0,1147.0,443.0,65.0,12.0
533996.0,49.0,111.0,52.0,40.0,0.0
226954.0,102.0,222.0,59.0,90.0,0.0
1195.0,518.0,1037.0,462.0,100.0,9.0
1899572.0,8.0,21.0,19.0,85.0,0.0
93227.0,171.0,328.0,90.0,35.0,0.0
285337.0,78.0,191.0,64.0,30.0,0.0
4476.0,447.0,718.0,293.0,45.0,0.0
2382657.0,7.0,10.0,16.0,30.0,0.0
120522.0,85.0,263.0,180.0,90.0,4.0
77458.0,15.0,309.0,310.0,100.0,4.0
20226.0,222.0,627.0,137.0,100.0,10.0
29321.0,241.0,529.0,113.0,80.0,2.0
1310498.0,24.0,46.0,13.0,60.0,0.0
5000001.0,0.0,1.0,0.0,100.0,0.0
45835.0,172.0,424.0,171.0,60.0,0.0
13340.0,276.0,639.0,189.0,90.0,0.0
346.0,633.0,1348.0,620.0,95.0,24.0
2588.0,405.0,924.0,343.0,95.0,12.0
